Nom,Prix,Carburant,Modèle,CV,KM,Ville
VOLKSWAGEN Tiguan,260.000 DH  VENDUE,Diesel,2018,8 cv,80.000 km,Casablanca
AUDI A6,355.000 DH  VENDUE,Diesel,2016,8 cv,81.000 km,Casablanca
MINI Cooper 5 portes,150.000 DH  VENDUE,Essence,2017,7 cv,80.000 km,Casablanca
CITROEN C5,75.000 DH  VENDUE,Diesel,2023,8 cv,265.000 km,Rabat
VOLKSWAGEN Golf,178.000 DH  VENDUE,Diesel,2018,8 cv,84.500 km,Kénitra
KIA Sportage,250.000 DH  VENDUE,Diesel,2021,6 cv,26.000 km,Ouarzazate
HYUNDAI Accent,172.000 DH  VENDUE,Diesel,2022,6 cv,24.000 km,Casablanca
JEEP Compass,240.000 DH  VENDUE,Diesel,2021,6 cv,42.000 km,Benslimane
HYUNDAI i20,178.000 DH  VENDUE,Essence,2022,8 cv,15.000 km,Rabat
OPEL Insignia,188.000 DH  VENDUE,Diesel,2019,8 cv,102.000 km,Rabat
FIAT Punto,25.000 DH  VENDUE,Diesel,1998,7 cv,281.000 km,Casablanca
SKODA Fabia,120.000 DH  VENDUE,Essence,2019,7 cv,43.700 km,Agadir
FIAT Punto,79.000 DH  VENDUE,Diesel,2018,cv,151.000 km,Casablanca
DACIA Sandero,72.000 DH  VENDUE,Diesel,2015,6 cv,90.000 km,Marrakech
MERCEDES Classe E,35.000 DH  VENDUE,Diesel,1998,10 cv,1.000 km,Salé
VOLKSWAGEN Tiguan,173.000 DH  VENDUE,Diesel,2014,8 cv,157.000 km,Kénitra
VOLKSWAGEN Passat,190.000 DH  VENDUE,Diesel,2018,8 cv,105.000 km,Casablanca
AUDI A6,280.000 DH  VENDUE,Diesel,2018,8 cv,73.000 km,Agadir
HYUNDAI Elantra,159.000 DH  VENDUE,Diesel,2020,6 cv,80.100 km,Salé
VOLKSWAGEN CC,190.000 DH  VENDUE,Diesel,2017,8 cv,195.000 km,Salé
PEUGEOT 208,120.000 DH  VENDUE,Diesel,2018,6 cv,51.100 km,Casablanca
FORD Kuga,122.000 DH  VENDUE,Diesel,2011,8 cv,160.000 km,Rabat
FIAT Doblo,93.000 DH  VENDUE,Diesel,2019,6 cv,110.000 km,Casablanca
TOYOTA Corolla Sport,190.000 DH  VENDUE,Hybride,2020,9 cv,118.000 km,Fès
OPEL Astra,130.000 DH  VENDUE,Diesel,2014,8 cv,93.000 km,Fès
OPEL Astra,135.000 DH  VENDUE,Diesel,2014,8 cv,93.000 km,Fès
FIAT Doblo,82.000 DH  VENDUE,Diesel,2016,5 cv,171.000 km,Casablanca
HYUNDAI i30,80.000 DH  VENDUE,Diesel,2010,6 cv,17.700 km,Oujda
FORD Kuga,155.000 DH  VENDUE,Diesel,2015,8 cv,110.000 km,Rabat
FIAT Tipo,110.000 DH  VENDUE,Diesel,2019,5 cv,68.000 km,Casablanca
HYUNDAI Accent,122.000 DH  VENDUE,Diesel,2016,6 cv,142.000 km,Casablanca
AUDI A3 Sportback,630.000 DH  VENDUE,Diesel,2023,8 cv,5.000 km,Casablanca
RENAULT Mégane,105.000 DH  VENDUE,Diesel,2013,6 cv,111.000 km,Casablanca
MERCEDES Classe E,340.000 DH  VENDUE,Diesel,2018,cv,51.000 km,Casablanca
MERCEDES CLA Coupé,490.000 DH  VENDUE,Diesel,2022,cv,20.000 km,Casablanca
VOLKSWAGEN Tiguan,180.000 DH  VENDUE,Diesel,2017,8 cv,112.000 km,Casablanca
MERCEDES Classe A,305.000 DH  VENDUE,Diesel,2019,cv,80.000 km,Casablanca
AUDI Q3,290.000 DH  VENDUE,Diesel,2017,8 cv,66.000 km,Agadir
PEUGEOT 2008,163.000 DH  VENDUE,Diesel,2020,6 cv,130.000 km,Mohammadia
SEAT Cordoba,32.000 DH  VENDUE,Essence,2000,8 cv,253.000 km,Temara
TOYOTA RAV 4,100.000 DH  VENDUE,Diesel,2010,9 cv,360.000 km,Marrakech
HYUNDAI Santa Fe,105.000 DH  VENDUE,Diesel,2011,9 cv,187.000 km,Rabat
KIA Sportage,200.000 DH  VENDUE,Diesel,2017,8 cv,51.000 km,Tanger
VOLVO S60,155.000 DH  VENDUE,Diesel,2016,6 cv,159.000 km,Casablanca
NISSAN Juke,130.000 DH  VENDUE,Diesel,2016,6 cv,177.000 km,Casablanca
VOLKSWAGEN Tiguan,140.000 DH  VENDUE,Diesel,2018,8 cv,200.000 km,Kénitra
OPEL Astra,170.000 DH  VENDUE,Diesel,2019,6 cv,115.000 km,Casablanca
TOYOTA Yaris,115.000 DH  VENDUE,Essence,2020,6 cv,56.000 km,Rabat
AUDI A4,238.000 DH  VENDUE,Diesel,2016,8 cv,182.000 km,Casablanca
AUDI A8,170.000 DH  VENDUE,Diesel,2013,12 cv,177.000 km,Casablanca
RENAULT Clio,100.000 DH  VENDUE,Diesel,2015,6 cv,119.000 km,Casablanca
VOLKSWAGEN Tiguan,288.000 DH  VENDUE,Diesel,2016,8 cv,158.000 km,Casablanca
LAND ROVER Range Rover Evoque,540.000 DH  VENDUE,Diesel,2021,cv,50.000 km,Casablanca
FORD Focus,140.000 DH  VENDUE,Diesel,2016,6 cv,109.300 km,Casablanca
VOLKSWAGEN Golf,223.000 DH  VENDUE,Diesel,2015,8 cv,195.000 km,Rabat
OPEL Crossland,157.000 DH  VENDUE,Diesel,2018,6 cv,149.000 km,Casablanca
HYUNDAI i30,110.000 DH  VENDUE,Diesel,2013,6 cv,194.000 km,Sidi Kacem
OPEL Mokka,170.000 DH  VENDUE,Diesel,2018,6 cv,131.000 km,Tanger
LAND ROVER Range Rover Evoque,218.000 DH  VENDUE,Diesel,2015,8 cv,98.000 km,Casablanca
DACIA Duster,113.000 DH  VENDUE,Diesel,2016,6 cv,168.000 km,Rabat
NISSAN Juke,150.000 DH  VENDUE,Diesel,2017,6 cv,87.700 km,Rabat
PEUGEOT 508,110.000 DH  VENDUE,Diesel,2012,8 cv,140.000 km,Mohammadia
HYUNDAI Accent,128.000 DH  VENDUE,Diesel,2023,cv,200.000 km,Temara
AUDI A7 Sportback,230.000 DH  VENDUE,Diesel,2014,12 cv,138.000 km,Casablanca
OPEL Astra,159.000 DH  VENDUE,Diesel,2018,6 cv,112.900 km,Fès
FORD Focus,135.000 DH  VENDUE,Diesel,2014,6 cv,127.200 km,Casablanca
FORD Kuga,330.000 DH  VENDUE,Diesel,2021,8 cv,60.000 km,Rabat
KIA Picanto,35.000 DH  VENDUE,Essence,2008,5 cv,109.000 km,Salé
MERCEDES Classe A,370.000 DH  VENDUE,Diesel,2020,8 cv,100.000 km,Casablanca
KIA Picanto,87.000 DH  VENDUE,Essence,2017,6 cv,79.000 km,Tanger
NISSAN Qashqai,183.000 DH  VENDUE,Diesel,2017,6 cv,110.000 km,Meknès
TOYOTA Corolla Berline,71.000 DH  VENDUE,Diesel,2006,cv,150.000 km,Agadir
VOLKSWAGEN CC,170.000 DH  VENDUE,Diesel,2015,8 cv,119.000 km,Casablanca
NISSAN X-Trail,185.000 DH  VENDUE,Diesel,2016,6 cv,124.000 km,Kénitra
BMW Série 3,300.000 DH  VENDUE,Diesel,2018,8 cv,66.000 km,Rabat
AUDI A3 Berline,239.000 DH  VENDUE,Diesel,2019,8 cv,87.600 km,Casablanca
VOLVO C30,85.000 DH  VENDUE,Diesel,2010,6 cv,142.000 km,Casablanca
BMW Série 1,74.000 DH  VENDUE,Essence,2006,11 cv,182.000 km,Rabat
FIAT Punto,108.000 DH  VENDUE,Diesel,2018,5 cv,45.000 km,Agadir
VOLKSWAGEN Golf,149.000 DH  VENDUE,Diesel,2015,8 cv,139.500 km,Marrakech
VOLKSWAGEN Passat,130.000 DH  VENDUE,Diesel,2012,8 cv,140.000 km,Casablanca
MITSUBISHI Pajero,46.000 DH  VENDUE,Diesel,2000,cv,298.000 km,Casablanca
BMW Série 5,250.000 DH  VENDUE,Diesel,2023,8 cv,150.000 km,Tanger
MERCEDES GLA,230.000 DH  VENDUE,Diesel,2014,9 cv,280.000 km,Casablanca
HYUNDAI ix35,125.000 DH  VENDUE,Diesel,2011,8 cv,251.000 km,Beni Mellal
VOLVO XC40,360.000 DH  VENDUE,Diesel,2020,8 cv,47.000 km,Casablanca
FIAT Tipo,120.000 DH  VENDUE,Diesel,2020,5 cv,14.800 km,Agadir
FORD Focus,190.000 DH  VENDUE,Diesel,2021,6 cv,38.400 km,Settat
MITSUBISHI L 200,157.000 DH  VENDUE,Diesel,2018,10 cv,180.000 km,Rabat
RENAULT Scénic,100.000 DH  VENDUE,Diesel,2012,6 cv,162.000 km,Casablanca
SEAT Ibiza,100.000 DH  VENDUE,Diesel,2016,6 cv,153.890 km,Temara
KIA Ceed,155.000 DH  VENDUE,Diesel,2016,6 cv,159.000 km,Casablanca
RENAULT Express,172.000 DH  VENDUE,Diesel,2022,6 cv,23.000 km,Agadir
DACIA Sandero,158.000 DH  VENDUE,Diesel,2022,6 cv,28.000 km,Casablanca
AUDI A5 SportBack,139.000 DH  VENDUE,Diesel,2010,8 cv,285.000 km,Casablanca
NISSAN Qashqai,249.000 DH  VENDUE,Essence,2022,8 cv,18.500 km,Casablanca
AUDI A3 Berline,215.000 DH  VENDUE,Diesel,2017,8 cv,101.000 km,Casablanca
HONDA CR-V,92.000 DH  VENDUE,Diesel,2008,9 cv,260.180 km,Casablanca
VOLKSWAGEN Touran,133.000 DH  VENDUE,Diesel,2013,8 cv,205.000 km,Tanger
DACIA Dokker,124.000 DH  VENDUE,Diesel,2021,cv,33.500 km,Meknès
BMW Série 4 Gran Coupé,255.000 DH  VENDUE,Diesel,2016,8 cv,140.000 km,Casablanca
DS DS 4,360.000 DH  VENDUE,Diesel,2023,6 cv,11.000 km,Casablanca
BMW Série 5,180.000 DH  VENDUE,Diesel,2012,12 cv,230.000 km,Fès
RENAULT Grand Scénic,120.000 DH  VENDUE,Diesel,2012,6 cv,237.000 km,Casablanca
VOLKSWAGEN Golf,122.000 DH  VENDUE,Diesel,2012,6 cv,90.000 km,Rabat
TOYOTA C-HR,240.000 DH  VENDUE,Hybride,2021,cv,23.256 km,Casablanca
VOLKSWAGEN Touareg,250.000 DH  VENDUE,Diesel,2020,12 cv,80.000 km,Rabat
SEAT Leon,215.000 DH  VENDUE,Diesel,2019,8 cv,143.000 km,Casablanca
DACIA Sandero,153.000 DH  VENDUE,Diesel,2022,6 cv,28.000 km,Casablanca
MERCEDES Classe C,800.000 DH  VENDUE,Essence,2023,9 cv,10.000 km,Tanger
MERCEDES Classe C Coupé,389.000 DH  VENDUE,Diesel,2018,8 cv,100.000 km,Casablanca
HYUNDAI i10,48.000 DH  VENDUE,Essence,2010,6 cv,150.000 km,Salé
DACIA Sandero,133.000 DH  VENDUE,Diesel,2020,6 cv,20.000 km,Casablanca
TOYOTA Land Cruiser Prado,160.000 DH  VENDUE,Diesel,2008,12 cv,130.000 km,Casablanca
VOLKSWAGEN Touareg,250.000 DH  VENDUE,Diesel,2018,12 cv,103.000 km,Casablanca
JEEP Renegade,167.000 DH  VENDUE,Diesel,2018,6 cv,11.000 km,Rabat
NISSAN Micra,142.000 DH  VENDUE,Diesel,2018,8 cv,70.000 km,Rabat
DACIA Logan,70.000 DH  VENDUE,Diesel,2018,6 cv,95.000 km,Casablanca
PEUGEOT 308,130.000 DH  VENDUE,Diesel,2015,6 cv,161.000 km,Tanger
LAND ROVER Discovery Sport,269.000 DH  VENDUE,Diesel,2019,8 cv,90.000 km,Casablanca
NISSAN X-Trail,100.000 DH  VENDUE,Diesel,2009,cv,230.000 km,Casablanca
MAZDA CX-5,200.000 DH  VENDUE,Diesel,2018,9 cv,100.000 km,Casablanca
CUPRA Leon,350.000 DH  VENDUE,Diesel,2023,8 cv,14.600 km,Tanger
JAGUAR XF,350.000 DH  VENDUE,Diesel,2019,8 cv,65.000 km,Casablanca
LAND ROVER Range Rover Evoque,240.000 DH  VENDUE,Diesel,2012,9 cv,185.000 km,Casablanca
OPEL Crossland,180.000 DH  VENDUE,Diesel,2020,6 cv,104.000 km,Casablanca
VOLKSWAGEN Golf,183.000 DH  VENDUE,Diesel,2018,8 cv,84.000 km,Kénitra
PEUGEOT 3008,330.000 DH  VENDUE,Diesel,2021,8 cv,56.000 km,Casablanca
MERCEDES Classe S,390.000 DH  VENDUE,Diesel,2016,12 cv,129.000 km,Casablanca
JEEP Renegade,235.000 DH  VENDUE,Diesel,2020,8 cv,61.000 km,Casablanca
FORD Kuga,159.000 DH  VENDUE,Diesel,2015,8 cv,147.000 km,Tanger
FIAT 500,154.000 DH  VENDUE,Essence,2021,6 cv,26.500 km,Casablanca
MERCEDES CLA Coupé,259.000 DH  VENDUE,Diesel,2014,9 cv,58.946 km,Casablanca
BMW Série 5,320.000 DH  VENDUE,Diesel,2018,8 cv,160.000 km,Casablanca
JAGUAR XE,235.000 DH  VENDUE,Diesel,2017,8 cv,140.000 km,Casablanca
VOLKSWAGEN Touareg,215.000 DH  VENDUE,Diesel,2017,12 cv,170.000 km,Tanger
VOLKSWAGEN T-Roc,330.000 DH  VENDUE,Diesel,2023,8 cv,32.000 km,Marrakech
CITROEN C3 Pluriel,55.000 DH  VENDUE,Essence,2005,9 cv,111.000 km,Casablanca
HYUNDAI i10,35.000 DH  VENDUE,Essence,2012,6 cv,170.000 km,Tanger
NISSAN Qashqai,163.000 DH  VENDUE,Diesel,2016,6 cv,214.000 km,El Jadida
TOYOTA C-HR,195.000 DH  VENDUE,Hybride,2019,9 cv,70.000 km,Casablanca
NISSAN Qashqai,170.000 DH  VENDUE,Diesel,2017,6 cv,129.000 km,El Jadida
GEELY LC,32.000 DH  VENDUE,Essence,2010,8 cv,105.400 km,Rabat
HYUNDAI Tucson,228.000 DH  VENDUE,Diesel,2018,7 cv,66.200 km,Temara
HYUNDAI Tucson,315.000 DH  VENDUE,Diesel,2022,6 cv,55.000 km,Casablanca
OPEL Mokka,253.000 DH  VENDUE,Essence,2023,7 cv,9.200 km,Casablanca
TOYOTA Auris,115.000 DH  VENDUE,Diesel,2015,5 cv,137.000 km,Casablanca
DACIA Logan,36.000 DH  VENDUE,Diesel,2018,6 cv,250.000 km,Tanger
DACIA Sandero,134.000 DH  VENDUE,Diesel,2020,6 cv,81.000 km,Casablanca
OPEL Astra,210.000 DH  VENDUE,Diesel,2019,6 cv,75.400 km,Agadir
PEUGEOT 2008,299.000 DH  VENDUE,Diesel,2023,6 cv,8.000 km,Rabat
VOLKSWAGEN CC,240.000 DH  VENDUE,Diesel,2019,8 cv,88.000 km,Casablanca
FORD Focus,159.000 DH  VENDUE,Diesel,2019,6 cv,158.000 km,Kénitra
RENAULT Express,160.000 DH  VENDUE,Diesel,2022,6 cv,13.000 km,Marrakech
VOLKSWAGEN Golf,190.000 DH  VENDUE,Diesel,2019,6 cv,200.000 km,Salé
OPEL Grandland,255.000 DH  VENDUE,Diesel,2021,6 cv,37.000 km,Aït Melloul
PEUGEOT 206,46.000 DH  VENDUE,Essence,2007,6 cv,65.000 km,Beni Mellal
AUDI A4,130.000 DH  VENDUE,Diesel,2009,8 cv,240.000 km,Agadir
HONDA Legend,100.000 DH  VENDUE,Essence,2011,21 cv,145.000 km,Meknès
MERCEDES Classe C,414.000 DH  VENDUE,Diesel,2020,8 cv,62.700 km,Agadir
FORD Kuga,129.000 DH  VENDUE,Diesel,2013,8 cv,194.700 km,Casablanca
OPEL Corsa,126.000 DH  VENDUE,Essence,2021,7 cv,17.000 km,Casablanca
SKODA Fabia,90.000 DH  VENDUE,Essence,2017,6 cv,150.000 km,Agadir
AUDI A5 SportBack,163.000 DH  VENDUE,Diesel,2010,8 cv,289.000 km,Casablanca
GEELY LC,31.000 DH  VENDUE,Essence,2010,6 cv,105.406 km,Temara
KIA Picanto,122.500 DH  VENDUE,Essence,2021,6 cv,12.500 km,Casablanca
FORD Kuga,196.000 DH  VENDUE,Diesel,2019,6 cv,88.000 km,Meknès
CITROEN C5 AirCross,240.000 DH  VENDUE,Diesel,2020,8 cv,47.000 km,Marrakech
HONDA CR-V,85.000 DH  VENDUE,Diesel,2011,9 cv,300.000 km,Casablanca
KIA Sorento,280.000 DH  VENDUE,Diesel,2019,8 cv,60.000 km,Casablanca
AUDI A7 Sportback,240.000 DH  VENDUE,Diesel,2014,12 cv,137.000 km,Casablanca
MINI Cooper 3 portes,75.000 DH  VENDUE,Essence,2009,cv,125.000 km,Casablanca
FORD Focus,90.000 DH  VENDUE,Diesel,2010,7 cv,228.000 km,Casablanca
BMW Série 3,225.000 DH  VENDUE,Diesel,2016,8 cv,181.000 km,Temara
ALFA ROMEO MiTo,80.000 DH  VENDUE,Essence,2012,8 cv,145.000 km,Casablanca
TOYOTA Hilux,85.000 DH  VENDUE,Diesel,1999,cv,31.000 km,Khemissate
HYUNDAI Santa Fe,95.000 DH  VENDUE,Diesel,2010,9 cv,144.000 km,Rabat
VOLKSWAGEN Jetta,180.000 DH  VENDUE,Diesel,2018,8 cv,59.300 km,Casablanca
HYUNDAI Elantra,300.000 DH  VENDUE,Hybride,2023,9 cv,16.000 km,Casablanca
HYUNDAI Santa Fe,360.000 DH  VENDUE,Diesel,2021,9 cv,32.500 km,Casablanca
AUDI A3 Sportback,280.000 DH  VENDUE,Diesel,2017,8 cv,133.000 km,Marrakech
VOLKSWAGEN Polo,143.000 DH  VENDUE,Essence,2020,6 cv,23.700 km,Rabat
RENAULT Fluence,90.000 DH  VENDUE,Diesel,2012,8 cv,177.000 km,Marrakech
FIAT Punto,83.000 DH  VENDUE,Diesel,2018,5 cv,120.000 km,Casablanca
DS DS5,153.000 DH  VENDUE,Diesel,2016,8 cv,110.000 km,Rabat
RENAULT Clio Campus,65.000 DH  VENDUE,Essence,2010,7 cv,68.100 km,Agadir
RENAULT Clio,110.000 DH  VENDUE,Essence,2020,7 cv,40.000 km,Smara
ALFA ROMEO MiTo,130.000 DH  VENDUE,Diesel,2017,6 cv,70.000 km,Casablanca
BMW Série 4 Coupé,265.000 DH  VENDUE,Diesel,2014,8 cv,160.000 km,Casablanca
PEUGEOT 208,150.000 DH  VENDUE,Diesel,2021,6 cv,80.000 km,Kénitra
KIA Cerato,50.000 DH  VENDUE,Diesel,2006,8 cv,198.100 km,El Jadida
VOLKSWAGEN Tiguan,325.000 DH  VENDUE,Diesel,2019,8 cv,57.000 km,Casablanca
MERCEDES Classe E Coupé,515.000 DH  VENDUE,Diesel,2019,8 cv,90.000 km,Marrakech
BMW X1,225.000 DH  VENDUE,Diesel,2016,8 cv,154.000 km,Casablanca
FORD Focus,110.000 DH  VENDUE,Diesel,2011,7 cv,125.125 km,Agadir
VOLKSWAGEN CC,160.000 DH  VENDUE,Diesel,2014,8 cv,204.000 km,Mohammadia
PEUGEOT 208,85.000 DH  VENDUE,Diesel,2015,cv,160.000 km,Essaouira
VOLKSWAGEN Golf,165.000 DH  VENDUE,Diesel,2017,8 cv,106.000 km,Casablanca
PEUGEOT 508,95.000 DH  VENDUE,Diesel,2011,6 cv,239.000 km,Tétouan
ALFA ROMEO Stelvio,340.000 DH  VENDUE,Diesel,2021,9 cv,99.000 km,Agadir
MERCEDES Classe E,178.000 DH  VENDUE,Diesel,2014,8 cv,208.000 km,Rabat
AUDI Q5,230.000 DH  VENDUE,Diesel,2014,8 cv,173.000 km,Marrakech
DS DS3,75.000 DH  VENDUE,Essence,2011,9 cv,155.000 km,Mohammadia
VOLKSWAGEN Tiguan,375.000 DH  VENDUE,Diesel,2017,8 cv,78.000 km,Al Hoceima
VOLKSWAGEN Golf,223.000 DH  VENDUE,Diesel,2014,8 cv,200.000 km,Rabat
AUDI A3,174.000 DH  VENDUE,Diesel,2014,6 cv,118.000 km,Kénitra
NISSAN Qashqai,185.000 DH  VENDUE,Diesel,2017,6 cv,115.000 km,Casablanca
VOLKSWAGEN Polo,125.000 DH  VENDUE,Diesel,2016,6 cv,85.000 km,Salé
FIAT Doblo,110.000 DH  VENDUE,Diesel,2018,5 cv,115.000 km,Casablanca
RENAULT Kangoo,100.000 DH  VENDUE,Diesel,2014,6 cv,118.800 km,Tétouan
HYUNDAI i30,160.000 DH  VENDUE,Diesel,2017,6 cv,108.000 km,Casablanca
VOLVO S90,360.000 DH  VENDUE,Diesel,2021,8 cv,75.000 km,Tanger
TOYOTA Yaris,130.000 DH  VENDUE,Diesel,2019,6 cv,68.000 km,Tanger
SKODA Kodiaq,330.000 DH  VENDUE,Diesel,2022,8 cv,30.000 km,El Jadida
MINI Cooper 5 portes,280.000 DH  VENDUE,Essence,2018,11 cv,22.238 km,Marrakech
VOLKSWAGEN T-Roc,280.000 DH  VENDUE,Essence,2020,8 cv,15.000 km,Casablanca
JAGUAR E-Pace,310.000 DH  VENDUE,Diesel,2018,8 cv,30.000 km,Casablanca
LAND ROVER Range Rover Sport,2.200.000 DH  VENDUE,Hybride,2023,6 cv,1.000 km,Casablanca
MINI Cooper 3 portes,60.000 DH  VENDUE,Diesel,2003,5 cv,210.000 km,Agadir
FORD Ranger,244.000 DH  VENDUE,Diesel,2018,9 cv,157.000 km,Marrakech
FORD Focus Sedan,125.000 DH  VENDUE,Diesel,2015,6 cv,185.000 km,Casablanca
MERCEDES CLA Coupé,270.000 DH  VENDUE,Essence,2015,11 cv,157.700 km,Temara
FORD Focus,115.000 DH  VENDUE,Diesel,2013,6 cv,150.552 km,Marrakech
FORD Fiesta,55.000 DH  VENDUE,Essence,2007,7 cv,113.000 km,Casablanca
DACIA Sandero,158.000 DH  VENDUE,Diesel,2022,6 cv,21.000 km,Casablanca
AUDI A4,275.000 DH  VENDUE,Diesel,2016,8 cv,80.000 km,Rabat
SEAT Ateca,300.500 DH  VENDUE,Diesel,2021,8 cv,28.000 km,Meknès
TOYOTA Corolla Berline,120.000 DH  VENDUE,Diesel,2014,5 cv,80.000 km,Khouribga
AUDI Q5,240.000 DH  VENDUE,Diesel,2015,8 cv,109.000 km,Rabat
CITROEN C3 AirCross,215.000 DH  VENDUE,Diesel,2022,6 cv,30.000 km,Rabat
HYUNDAI i10,58.000 DH  VENDUE,Essence,2011,6 cv,190.000 km,Casablanca
OPEL Grandland,180.000 DH  VENDUE,Diesel,2020,6 cv,63.000 km,Aït Melloul
FORD Focus,95.000 DH  VENDUE,Diesel,2010,7 cv,238.000 km,Casablanca
RENAULT Clio,123.000 DH  VENDUE,Diesel,2019,6 cv,94.000 km,Salé
DACIA Logan,165.000 DH  VENDUE,Diesel,2022,6 cv,8.600 km,Tanger
MERCEDES Classe C,590.000 DH  VENDUE,Diesel,2022,8 cv,11.500 km,Casablanca
OPEL Adam,105.000 DH  VENDUE,Essence,2017,7 cv,47.700 km,Mohammadia
HYUNDAI Santa Fe,100.000 DH  VENDUE,Diesel,2010,8 cv,143.000 km,Rabat
NISSAN X-Trail,220.000 DH  VENDUE,Diesel,2018,6 cv,95.000 km,Tanger
ALFA ROMEO Giulietta,180.000 DH  VENDUE,Diesel,2018,6 cv,54.020 km,Casablanca
HYUNDAI Elantra,135.000 DH  VENDUE,Diesel,2014,6 cv,88.000 km,Rabat
SUZUKI Jimny,105.000 DH  VENDUE,Essence,2012,9 cv,112.000 km,Rabat
PEUGEOT 508,143.000 DH  VENDUE,Diesel,2018,6 cv,108.000 km,Rabat
PEUGEOT 208,165.000 DH  VENDUE,Diesel,2022,6 cv,23.000 km,Khemissate
HYUNDAI Accent,180.000 DH  VENDUE,Diesel,2021,6 cv,23.000 km,Casablanca
RENAULT Express,230.000 DH  VENDUE,Diesel,2022,6 cv,6.000 km,Casablanca
MINI Cooper 3 portes,255.000 DH  VENDUE,Essence,2016,11 cv,85.900 km,Casablanca
MITSUBISHI Lancer EX,51.000 DH  VENDUE,Essence,2009,9 cv,224.000 km,Casablanca
MERCEDES GLE,340.000 DH  VENDUE,Diesel,2016,9 cv,250.000 km,Casablanca
RENAULT Mégane,125.000 DH  VENDUE,Diesel,2014,6 cv,156.000 km,Rabat
MERCEDES Classe C,137.000 DH  VENDUE,Diesel,2008,9 cv,120.000 km,Rabat
TOYOTA C-HR,190.000 DH  VENDUE,Hybride,2018,10 cv,46.000 km,Casablanca
MERCEDES Classe C,235.000 DH  VENDUE,Diesel,2015,8 cv,192.000 km,El Jadida
HYUNDAI i30,89.000 DH  VENDUE,Diesel,2012,6 cv,260.000 km,Rabat
DACIA Dokker,135.000 DH  VENDUE,Diesel,2015,6 cv,23.000 km,Tanger
JEEP Renegade,180.000 DH  VENDUE,Diesel,2017,6 cv,83.450 km,Casablanca
JEEP Grand Cherokee,195.000 DH  VENDUE,Diesel,2016,12 cv,133.000 km,Casablanca
FORD Focus,150.000 DH  VENDUE,Diesel,2017,6 cv,130.000 km,Casablanca
MERCEDES Classe E,395.000 DH  VENDUE,Diesel,2019,8 cv,170.000 km,Casablanca
AUDI Q3,427.000 DH  VENDUE,Diesel,2021,8 cv,42.000 km,Agadir
HYUNDAI Elantra,170.000 DH  VENDUE,Diesel,2021,6 cv,20.000 km,Casablanca
TOYOTA Corolla Prestige,196.000 DH  VENDUE,Hybride,2019,10 cv,119.000 km,Mohammadia
FIAT 500L,115.000 DH  VENDUE,Diesel,2015,6 cv,160.000 km,Casablanca
HYUNDAI Accent,103.000 DH  VENDUE,Diesel,2013,6 cv,164.000 km,Kénitra
DACIA Sandero,115.000 DH  VENDUE,Diesel,2017,6 cv,65.000 km,Tanger
VOLKSWAGEN Tiguan,150.000 DH  VENDUE,Diesel,2011,8 cv,162.000 km,Rabat
PEUGEOT 308,134.000 DH  VENDUE,Diesel,2016,6 cv,119.000 km,Casablanca
DFSK Glory IX5,230.000 DH  VENDUE,Essence,2021,9 cv,36.600 km,Kénitra
MERCEDES Classe C,450.000 DH  VENDUE,Diesel,2018,9 cv,90.000 km,Casablanca
TOYOTA Verso,95.000 DH  VENDUE,Diesel,2012,8 cv,140.000 km,Casablanca
FORD EcoSport,184.000 DH  VENDUE,Diesel,2019,6 cv,40.000 km,Casablanca
SKODA Scala,210.000 DH  VENDUE,Diesel,2022,6 cv,23.000 km,El Jadida
HYUNDAI Tucson,240.000 DH  VENDUE,Diesel,2018,6 cv,94.000 km,Settat
LAND ROVER Range Rover Evoque,460.000 DH  VENDUE,,2021,8 cv,33.000 km,Casablanca
SKODA Fabia,80.000 DH  VENDUE,Diesel,2010,6 cv,235.000 km,Salé
VOLKSWAGEN Golf,92.000 DH  VENDUE,Essence,2013,8 cv,173.000 km,Casablanca
VOLKSWAGEN Touareg,169.000 DH  VENDUE,Diesel,2015,12 cv,164.000 km,Agadir
BMW Série 3,395.000 DH  VENDUE,Diesel,2020,8 cv,65.000 km,Fès
NISSAN Qashqai,189.000 DH  VENDUE,Diesel,2018,6 cv,94.000 km,Casablanca
TOYOTA Corolla Cross,300.000 DH  VENDUE,Hybride,2022,10 cv,5.000 km,Rabat
DACIA Sandero,126.000 DH  VENDUE,Diesel,2020,6 cv,37.000 km,Rabat
PEUGEOT 308,155.000 DH  VENDUE,Diesel,2016,6 cv,105.000 km,Casablanca
KIA Cerato,50.000 DH  VENDUE,Diesel,2023,cv,25.000 km,Mohammadia
DACIA Logan,65.000 DH  VENDUE,Diesel,2018,6 cv,76.000 km,Casablanca
HYUNDAI Tucson,195.000 DH  VENDUE,Diesel,2016,8 cv,142.000 km,Sidi Kacem
DACIA Duster,195.000 DH  VENDUE,Diesel,2021,6 cv,67.000 km,Casablanca
LAND ROVER Range Rover Evoque,300.000 DH  VENDUE,Diesel,2016,8 cv,133.000 km,Rabat
RENAULT Mégane,98.000 DH  VENDUE,Diesel,2010,7 cv,157.600 km,Fès
VOLKSWAGEN Jetta,130.000 DH  VENDUE,Diesel,2015,cv,156.000 km,El Jadida
BMW Série 1,169.000 DH  VENDUE,Diesel,2016,6 cv,165.000 km,Fès
